39.6128542,-74.3629792
39.6130113,-74.3629026
39.6132182,-74.3628642
39.6133943,-74.3628174
39.61354,-74.3627608
39.6137546,-74.3626727
39.6139079,-74.3626152
39.6139539,-74.3625615
39.6139424,-74.362393
39.613904,-74.3621746
39.6138389,-74.3619025
39.6137947,-74.3617297
39.6137623,-74.3615538
39.6137163,-74.3613354
39.6136473,-74.3610787
39.6134711,-74.3609714
39.6133025,-74.3610366
39.6131799,-74.3610826
39.6130458,-74.3611247
39.6129078,-74.3611592
39.6127776,-74.3612473
39.6126818,-74.3612875
39.6126473,-74.3613565
39.612632,-74.3614983
39.6126933,-74.3616784
39.6127316,-74.3618814
39.6127546,-74.3620845
39.6128235,-74.3623451
39.6128389,-74.3625328
39.6128542,-74.3629792
39.6128542,-74.3629792
39.6130113,-74.3629026
39.6132182,-74.3628642
39.6131607,-74.3626612
39.6131416,-74.3625156
39.6130956,-74.3622359
39.6130036,-74.3618029
39.6129155,-74.3613393
39.6129078,-74.3611592
39.6130458,-74.3611247
39.6131799,-74.3610826
39.6132067,-74.3612588
39.6132795,-74.3616113
39.6133638,-74.3619102
39.6133906,-74.3621286
39.6134519,-74.3624428
39.61354,-74.3627608
39.6137546,-74.3626727
39.6137086,-74.3625539
39.6136818,-74.3624121
39.6136358,-74.3621937
39.6135745,-74.3619255
39.6135285,-74.3617148
39.6135056,-74.3615692
39.6134481,-74.3613048
39.6134136,-74.3611668
39.6134711,-74.3609714
39.6136473,-74.3610787
39.6137163,-74.3613354
39.6137623,-74.3615538
39.6137947,-74.3617297
39.6138389,-74.3619025
39.613904,-74.3621746
39.6139424,-74.362393
39.6139539,-74.3625615
39.6139079,-74.3626152
39.6137546,-74.3626727
39.61354,-74.3627608
39.6133943,-74.3628174
39.6132182,-74.3628642
39.6130113,-74.3629026
39.6128542,-74.3629792
